>>>python train_siamese_network.py 

2020-09-18 17:23:49.530751: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 AVX512F FMA
2020-09-18 17:23:49.560168: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2000000000 Hz
2020-09-18 17:23:49.568106: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x56278723bc30 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
2020-09-18 17:23:49.568203: I tensorflow/compiler/xla/service/service.cc:176]   StreamExecutor device (0): Host, Default Version

Iteration 204/1000000: Train loss: 4.784320, Train Accuracy: 0.593750, lr = 0.001000
Iteration 205/1000000: Train loss: 4.781868, Train Accuracy: 0.500000, lr = 0.001000
Iteration 206/1000000: Train loss: 4.768946, Train Accuracy: 0.640625, lr = 0.001000
Iteration 207/1000000: Train loss: 4.765721, Train Accuracy: 0.625000, lr = 0.001000
Iteration 208/1000000: Train loss: 4.785257, Train Accuracy: 0.578125, lr = 0.001000
Iteration 209/1000000: Train loss: 4.778576, Train Accuracy: 0.609375, lr = 0.001000
Iteration 210/1000000: Train loss: 4.783570, Train Accuracy: 0.578125, lr = 0.001000
Iteration 211/1000000: Train loss: 4.785154, Train Accuracy: 0.531250, lr = 0.001000
Iteration 212/1000000: Train loss: 4.750300, Train Accuracy: 0.546875, lr = 0.001000
Iteration 213/1000000: Train loss: 4.750239, Train Accuracy: 0.578125, lr = 0.001000
Iteration 214/1000000: Train loss: 4.762669, Train Accuracy: 0.656250, lr = 0.001000
Iteration 215/1000000: Train loss: 4.757605, Train Accuracy: 0.546875, lr = 0.001000
Iteration 216/1000000: Train loss: 4.758908, Train Accuracy: 0.578125, lr = 0.001000
Iteration 217/1000000: Train loss: 4.773011, Train Accuracy: 0.734375, lr = 0.001000
Iteration 218/1000000: Train loss: 4.784391, Train Accuracy: 0.656250, lr = 0.001000
Iteration 219/1000000: Train loss: 4.777288, Train Accuracy: 0.640625, lr = 0.001000
Iteration 220/1000000: Train loss: 4.803098, Train Accuracy: 0.500000, lr = 0.001000
Iteration 221/1000000: Train loss: 4.805074, Train Accuracy: 0.531250, lr = 0.001000
Iteration 222/1000000: Train loss: 4.771765, Train Accuracy: 0.562500, lr = 0.001000
Iteration 223/1000000: Train loss: 4.693741, Train Accuracy: 0.640625, lr = 0.001000
Iteration 224/1000000: Train loss: 4.754956, Train Accuracy: 0.640625, lr = 0.001000
Iteration 225/1000000: Train loss: 4.758947, Train Accuracy: 0.609375, lr = 0.001000
Iteration 226/1000000: Train loss: 4.783993, Train Accuracy: 0.484375, lr = 0.001000
Iteration 227/1000000: Train loss: 4.750459, Train Accuracy: 0.656250, lr = 0.001000
Iteration 228/1000000: Train loss: 4.712327, Train Accuracy: 0.609375, lr = 0.001000
Iteration 229/1000000: Train loss: 4.704348, Train Accuracy: 0.656250, lr = 0.001000
Iteration 230/1000000: Train loss: 4.740996, Train Accuracy: 0.515625, lr = 0.001000
Iteration 231/1000000: Train loss: 4.764198, Train Accuracy: 0.625000, lr = 0.001000
Iteration 232/1000000: Train loss: 4.718641, Train Accuracy: 0.656250, lr = 0.001000
Iteration 233/1000000: Train loss: 4.753969, Train Accuracy: 0.578125, lr = 0.001000
Iteration 234/1000000: Train loss: 4.790625, Train Accuracy: 0.468750, lr = 0.001000
Iteration 235/1000000: Train loss: 4.724527, Train Accuracy: 0.656250, lr = 0.001000
Iteration 236/1000000: Train loss: 4.701763, Train Accuracy: 0.671875, lr = 0.001000
Iteration 237/1000000: Train loss: 4.752391, Train Accuracy: 0.578125, lr = 0.001000
Iteration 238/1000000: Train loss: 4.717749, Train Accuracy: 0.609375, lr = 0.001000
Iteration 239/1000000: Train loss: 4.701763, Train Accuracy: 0.609375, lr = 0.001000
Iteration 240/1000000: Train loss: 4.674734, Train Accuracy: 0.656250, lr = 0.001000
Iteration 241/1000000: Train loss: 4.759723, Train Accuracy: 0.562500, lr = 0.001000
Iteration 242/1000000: Train loss: 4.707835, Train Accuracy: 0.656250, lr = 0.001000
Iteration 243/1000000: Train loss: 4.755087, Train Accuracy: 0.578125, lr = 0.001000
Iteration 244/1000000: Train loss: 4.714384, Train Accuracy: 0.625000, lr = 0.001000
Iteration 245/1000000: Train loss: 4.740324, Train Accuracy: 0.625000, lr = 0.001000
Iteration 246/1000000: Train loss: 4.706754, Train Accuracy: 0.625000, lr = 0.001000
Iteration 247/1000000: Train loss: 4.678090, Train Accuracy: 0.687500, lr = 0.001000
Iteration 248/1000000: Train loss: 4.648569, Train Accuracy: 0.765625, lr = 0.001000
Iteration 249/1000000: Train loss: 4.709435, Train Accuracy: 0.609375, lr = 0.001000
Iteration 250/1000000: Train loss: 4.748982, Train Accuracy: 0.500000, lr = 0.001000
Iteration 251/1000000: Train loss: 4.701027, Train Accuracy: 0.625000, lr = 0.001000
Iteration 252/1000000: Train loss: 4.708847, Train Accuracy: 0.578125, lr = 0.001000
Iteration 253/1000000: Train loss: 4.661316, Train Accuracy: 0.640625, lr = 0.001000
Iteration 254/1000000: Train loss: 4.718106, Train Accuracy: 0.546875, lr = 0.001000
Iteration 255/1000000: Train loss: 4.655141, Train Accuracy: 0.718750, lr = 0.001000
Iteration 256/1000000: Train loss: 4.692403, Train Accuracy: 0.593750, lr = 0.001000
Iteration 257/1000000: Train loss: 4.699185, Train Accuracy: 0.609375, lr = 0.001000
Iteration 258/1000000: Train loss: 4.691247, Train Accuracy: 0.640625, lr = 0.001000
Iteration 259/1000000: Train loss: 4.737289, Train Accuracy: 0.593750, lr = 0.001000
Iteration 260/1000000: Train loss: 4.656756, Train Accuracy: 0.656250, lr = 0.001000
Iteration 261/1000000: Train loss: 4.686803, Train Accuracy: 0.640625, lr = 0.001000
Iteration 262/1000000: Train loss: 4.705685, Train Accuracy: 0.609375, lr = 0.001000
Iteration 263/1000000: Train loss: 4.677310, Train Accuracy: 0.593750, lr = 0.001000
Iteration 264/1000000: Train loss: 4.657801, Train Accuracy: 0.562500, lr = 0.001000
Iteration 265/1000000: Train loss: 4.698689, Train Accuracy: 0.656250, lr = 0.001000
Iteration 266/1000000: Train loss: 4.649831, Train Accuracy: 0.687500, lr = 0.001000
Iteration 267/1000000: Train loss: 4.737893, Train Accuracy: 0.546875, lr = 0.001000
Iteration 268/1000000: Train loss: 4.675704, Train Accuracy: 0.578125, lr = 0.001000
Iteration 269/1000000: Train loss: 4.706934, Train Accuracy: 0.593750, lr = 0.001000
Iteration 270/1000000: Train loss: 4.688288, Train Accuracy: 0.609375, lr = 0.001000
